CUSIP,Short Name,Price Date,Day,Funds,Market Code,Market,Price Source,Bid Price,Ask Price,Last Trade Price,Statement Price,Update Date,Trade Volume,Price Status,Statement Price Status
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-25,Thu,C,XU,CDN MUT FUND,SVC,       7.600,       7.600,       7.600,,2014-09-19,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-24,Wed,C,XU,CDN MUT FUND,SVC,       7.600,       7.600,       7.600,,2014-09-19,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-23,Tue,C,XU,CDN MUT FUND,SVC,       7.600,       7.600,       7.600,,2014-09-19,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-22,Mon,C,XU,CDN MUT FUND,SVC,       7.600,       7.600,       7.600,,2014-09-19,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-21,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-20,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-19,Fri,C,XU,CDN MUT FUND,SVC,       7.600,       7.600,       7.600,,2014-09-19,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-18,Thu,C,XU,CDN MUT FUND,SVC,       7.690,       7.690,       7.690,,2014-09-12,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-17,Wed,C,XU,CDN MUT FUND,SVC,       7.690,       7.690,       7.690,,2014-09-12,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-16,Tue,C,XU,CDN MUT FUND,SVC,       7.690,       7.690,       7.690,,2014-09-12,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-15,Mon,C,XU,CDN MUT FUND,SVC,       7.690,       7.690,       7.690,,2014-09-12,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-14,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-13,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-12,Fri,C,XU,CDN MUT FUND,SVC,       7.690,       7.690,       7.690,,2014-09-12,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-11,Thu,C,XU,CDN MUT FUND,SVC,       7.650,       7.650,       7.650,,2014-09-05,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-10,Wed,C,XU,CDN MUT FUND,SVC,       7.650,       7.650,       7.650,,2014-09-05,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-09,Tue,C,XU,CDN MUT FUND,SVC,       7.650,       7.650,       7.650,,2014-09-05,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-08,Mon,C,XU,CDN MUT FUND,SVC,       7.650,       7.650,       7.650,,2014-09-05,0,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-07,Sun,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-06,Sat,C,,,,,,,,,,,
DYN394,DYNAMIC ALPHA PERF FD SR F -NL,2014-09-05,Fri,C,XU,CDN MUT FUND,SVC,       7.650,       7.650,       7.650,,2014-09-05,0,,
